faisabilite,NORD0,NORD1,NORD2,NORD3,NORD4,NORD5,NORD6,EST0,EST1,EST2,EST3,EST4,EST5,EST6,SUD0,SUD1,SUD2,SUD3,SUD4,SUD5,SUD6,OUEST0,OUEST1,OUEST2,OUEST3,OUEST4,OUEST5,OUEST6
impossible,3,1,2,3,2,6,3,3,4,2,1,3,2,3,2,4,3,3,1,2,4,2,3,2,3,1,4,2
impossible,1,2,2,2,4,3,4,5,3,3,1,2,4,2,3,2,3,2,2,1,3,1,2,3,4,3,2,3
impossible,5,4,2,2,1,4,3,2,4,3,2,1,2,5,1,2,3,2,3,2,3,4,2,3,3,2,2,1
impossible,2,4,3,2,2,1,4,2,3,3,2,3,1,3,3,2,1,3,4,3,2,4,4,1,3,2,2,3
impossible,4,3,1,2,2,4,2,3,1,2,3,5,3,2,3,2,5,4,2,1,2,3,4,2,3,1,2,3
impossible,2,3,1,4,3,2,4,3,4,2,2,1,2,3,3,1,3,2,4,3,3,3,1,3,4,3,2,2
impossible,3,2,3,1,2,3,2,2,3,3,5,3,1,2,3,3,3,2,3,1,2,4,2,3,1,2,2,4
impossible,2,4,3,5,3,1,2,2,1,2,5,4,4,2,2,1,4,2,4,4,2,2,4,4,3,3,1,2
impossible,1,3,2,3,3,2,3,3,3,3,4,3,1,2,3,3,4,2,3,1,2,1,2,4,2,3,2,4
impossible,2,2,2,2,3,4,1,1,4,3,4,5,2,2,2,3,4,5,2,1,3,3,2,3,2,1,2,2
impossible,3,3,2,2,1,2,6,3,4,2,2,2,4,1,2,2,3,4,4,2,1,4,2,3,3,1,2,2
impossible,4,1,2,2,3,3,3,5,3,3,4,2,1,2,3,4,3,1,4,2,2,2,3,2,1,3,2,3
impossible,4,1,2,2,2,3,4,4,3,2,3,1,2,3,1,4,2,2,4,2,2,2,4,3,2,3,2,1
impossible,4,2,1,2,2,3,2,4,1,3,2,3,4,2,3,2,3,3,4,1,2,3,5,3,2,1,2,5
impossible,4,2,3,4,1,2,2,2,2,1,3,4,3,2,3,2,4,1,3,3,2,3,3,5,2,1,2,3
impossible,1,4,3,4,2,5,2,2,3,4,4,1,2,3,4,3,5,1,3,2,2,1,2,3,2,5,3,2
impossible,3,3,2,3,2,1,3,2,3,3,5,2,1,3,1,2,3,4,3,2,2,3,2,3,2,2,3,1
impossible,3,4,3,1,3,2,2,3,1,3,3,3,2,2,2,4,2,3,2,1,3,2,4,2,2,3,1,4
impossible,2,1,4,4,3,2,2,2,4,2,1,3,2,2,2,3,3,1,2,3,2,2,1,3,3,3,3,2
impossible,1,2,2,3,2,2,5,4,4,2,2,3,2,1,2,4,4,2,2,4,1,1,2,3,4,3,3,2
impossible,3,2,3,1,5,5,3,2,3,2,5,1,3,2,2,4,4,2,2,1,2,3,2,3,1,4,4,3
impossible,3,3,1,2,3,2,3,3,2,2,3,1,5,2,2,2,4,3,4,1,2,2,2,3,1,4,2,3
impossible,2,3,2,3,1,3,3,2,2,4,2,4,3,1,3,2,2,4,3,2,1,4,1,3,4,3,2,6
impossible,2,2,3,4,3,3,1,1,4,2,3,2,3,3,2,4,1,3,2,3,3,2,2,4,3,1,4,2
impossible,2,2,1,2,3,4,4,4,3,3,3,2,2,1,3,3,5,2,3,2,1,2,2,2,4,1,3,4
impossible,3,2,1,3,2,2,4,3,3,3,4,2,1,3,2,3,5,1,5,2,2,3,3,1,2,5,3,2
impossible,3,3,3,2,1,4,2,2,1,2,3,4,3,2,2,3,3,2,3,1,2,4,3,2,2,2,1,4
impossible,2,1,2,3,6,2,3,3,2,2,3,2,1,3,2,4,3,2,1,4,2,2,4,3,1,3,4,2
impossible,4,2,1,2,3,2,5,3,4,3,5,2,1,2,2,3,4,3,3,1,2,3,2,2,1,3,4,3
impossible,5,3,2,2,5,1,2,2,3,1,3,2,3,4,1,3,2,4,2,5,3,4,3,3,2,3,3,1
impossible,4,3,1,3,2,2,3,3,2,3,2,1,3,5,2,1,3,2,3,3,3,3,2,3,3,2,1,2
impossible,2,4,2,4,1,3,2,2,3,4,1,2,3,2,3,2,3,2,4,1,4,4,3,1,4,2,2,4
impossible,3,2,1,4,3,2,2,3,2,1,3,3,4,2,3,2,3,1,2,4,2,3,2,4,3,1,2,3
impossible,1,2,4,3,3,2,2,3,1,3,4,2,2,2,3,3,3,1,3,2,2,1,3,2,2,4,3,2
impossible,3,3,2,1,3,3,2,2,1,3,4,3,2,2,4,3,2,2,3,1,3,3,4,1,2,3,3,4
impossible,2,3,1,3,2,3,3,4,2,4,2,1,3,2,4,2,5,2,1,3,2,2,1,2,3,2,3,3
impossible,1,3,2,3,4,2,2,5,1,2,5,3,3,2,5,2,4,2,1,3,2,1,3,2,2,3,2,3
impossible,4,2,1,3,3,2,3,4,2,3,4,2,1,3,3,1,4,2,2,3,2,3,2,2,1,4,4,2
impossible,4,3,3,3,2,1,2,2,1,3,3,2,5,3,2,2,1,3,4,3,5,4,3,2,1,4,2,2
impossible,2,2,3,1,2,2,6,4,5,2,3,2,5,1,3,2,2,3,3,5,1,4,1,2,2,3,3,3
impossible,5,2,2,3,2,3,1,1,3,2,2,2,3,4,3,5,1,2,3,2,4,3,2,3,2,1,2,3
impossible,2,5,3,3,1,2,3,3,3,1,4,2,2,3,3,2,3,1,2,2,3,3,1,3,3,2,2,3
impossible,3,3,2,3,6,2,1,1,2,5,2,3,3,3,2,2,4,3,1,3,5,4,2,3,1,3,2,3
impossible,4,4,2,2,1,4,2,2,4,2,3,1,3,2,3,2,3,2,4,1,3,4,3,3,1,3,2,4
impossible,4,2,3,2,1,3,3,3,3,4,1,4,2,3,3,4,1,3,4,2,3,4,2,2,2,1,3,2
impossible,3,2,2,3,3,1,4,2,2,4,3,2,1,3,4,6,2,3,1,2,2,4,2,1,2,2,5,3
impossible,3,3,1,4,2,2,3,3,2,6,1,4,2,3,3,3,4,1,2,2,2,3,3,1,4,2,2,2
impossible,4,4,2,1,3,2,3,3,2,3,4,3,4,1,3,2,3,4,2,3,1,4,4,3,1,2,2,4
impossible,3,2,2,5,1,3,3,2,3,2,3,1,2,4,1,2,4,2,3,4,3,3,2,3,2,3,2,1
impossible,2,2,1,3,2,4,3,3,3,3,2,3,1,2,1,4,3,3,3,4,2,2,2,2,4,3,4,1
impossible,2,3,2,3,1,4,3,2,2,3,3,3,2,1,2,3,2,4,4,2,1,2,2,3,1,2,3,3
impossible,2,2,1,3,2,3,3,4,2,3,3,2,2,1,3,2,3,3,2,2,1,2,1,2,2,4,4,3
impossible,2,3,2,3,2,4,1,1,4,2,2,3,2,2,4,3,2,3,2,1,5,3,1,2,2,3,3,4
impossible,4,2,4,2,1,3,3,3,3,2,2,4,4,1,3,3,2,3,2,3,1,3,2,3,2,1,2,5
impossible,3,2,4,4,2,1,3,2,3,4,3,1,2,3,4,4,1,2,2,4,3,3,2,1,2,4,2,2
impossible,3,2,1,4,4,2,2,3,1,2,3,2,2,3,4,3,2,2,1,2,4,3,2,1,2,6,3,4
impossible,3,4,1,3,2,3,4,3,3,2,2,2,5,1,2,2,3,2,3,4,1,2,2,4,3,1,2,2
impossible,3,2,3,2,3,1,2,2,3,1,2,3,4,5,1,3,2,2,3,4,4,3,2,3,2,3,3,1
impossible,2,1,3,4,3,2,3,4,2,1,2,3,2,4,2,3,1,2,2,4,3,2,4,5,3,1,3,3
impossible,2,3,2,1,6,3,3,3,2,3,3,2,1,3,3,2,3,3,1,2,2,2,3,2,1,3,3,3
impossible,1,2,4,4,3,2,2,3,2,3,1,3,2,4,4,5,2,1,2,5,3,1,6,2,4,2,2,3
impossible,4,3,3,2,3,2,1,1,2,4,4,2,4,2,2,2,3,3,1,3,2,5,3,3,2,2,1,3
impossible,2,4,2,2,1,5,3,2,4,4,2,2,1,3,3,1,3,3,5,2,2,4,1,2,2,3,4,2
impossible,2,2,1,2,3,4,4,4,3,4,2,2,3,1,2,4,4,3,3,3,1,2,2,4,3,3,1,2
impossible,4,1,3,3,2,2,4,3,3,3,3,1,2,2,1,4,3,4,4,2,2,2,3,4,3,4,2,1
impossible,5,2,3,2,1,3,4,2,3,3,4,2,2,1,2,2,2,4,4,3,1,3,3,2,2,5,1,4
impossible,3,2,1,4,3,2,3,3,2,2,4,1,3,2,3,4,3,2,3,1,3,3,2,3,1,2,4,3
impossible,3,1,3,4,3,2,2,3,2,1,2,4,4,2,2,4,2,3,1,3,3,2,5,2,3,3,1,3
impossible,3,1,3,3,3,4,2,2,1,4,3,2,3,3,2,5,4,1,2,3,2,2,5,2,3,4,1,2
impossible,2,4,4,3,1,3,2,2,3,3,2,3,1,3,3,1,3,2,4,2,2,3,1,3,3,3,2,2
impossible,3,4,1,5,4,2,3,3,2,3,2,1,3,4,4,1,3,2,3,2,2,2,2,1,2,3,4,2
impossible,3,1,5,2,2,3,3,3,3,3,2,3,2,1,2,5,2,2,3,3,1,2,3,2,4,1,3,3
impossible,2,3,1,2,4,2,3,2,2,3,2,5,1,3,3,1,3,3,3,2,2,2,3,4,3,1,3,2
impossible,2,3,1,2,3,2,3,3,2,3,3,3,4,1,3,2,3,3,4,5,1,2,3,1,4,2,2,3
impossible,3,2,2,2,2,3,1,1,2,2,3,3,5,3,2,1,3,2,5,4,5,3,3,2,2,2,1,2
impossible,4,1,2,2,2,3,4,4,3,2,2,2,1,4,2,4,1,3,3,3,2,2,3,3,1,4,4,2
impossible,3,2,3,3,2,4,1,1,3,3,2,3,4,2,2,2,3,3,2,1,5,3,2,3,1,3,2,4
impossible,3,3,2,4,1,2,2,3,1,4,3,3,2,2,3,2,2,3,4,1,3,3,2,3,3,1,2,3
impossible,3,1,5,2,2,4,3,4,3,3,1,4,2,2,3,3,1,2,3,2,2,2,2,4,3,1,3,3
impossible,3,4,2,5,1,3,2,2,4,1,2,3,4,2,2,2,3,1,5,4,3,3,3,3,5,1,2,2
impossible,2,3,2,1,4,2,4,3,5,2,1,3,2,3,2,1,4,3,3,2,3,3,1,3,3,3,4,2
impossible,3,3,3,2,2,4,1,1,2,3,2,4,3,4,5,1,2,2,3,4,4,4,2,1,2,2,3,2
impossible,1,2,3,2,3,3,4,4,3,3,2,1,2,2,4,3,2,4,2,1,3,1,3,4,2,3,3,3
impossible,3,3,4,1,2,2,4,3,2,2,3,2,1,6,1,2,3,3,3,4,2,3,2,3,2,3,4,1
impossible,4,1,2,3,3,2,3,3,3,1,4,3,2,4,1,2,4,2,3,2,3,2,3,5,2,3,2,1
impossible,2,2,1,4,2,4,2,2,3,1,4,2,3,2,2,3,5,2,3,1,4,3,3,3,1,2,3,2
impossible,2,4,2,3,3,2,1,1,3,2,2,4,2,2,3,3,3,2,2,1,4,4,1,3,2,2,4,3
impossible,3,3,2,3,4,2,1,1,2,5,2,3,2,3,4,2,2,1,3,2,3,4,2,1,4,2,2,4
impossible,3,3,2,2,2,4,1,1,2,3,4,4,2,3,3,1,3,3,4,2,3,3,3,2,1,2,3,2
impossible,2,4,1,2,2,3,3,3,3,3,2,1,4,3,3,2,2,1,3,4,2,3,1,2,4,3,2,3
impossible,2,2,5,1,2,3,4,4,3,2,2,3,1,2,4,3,1,3,2,4,2,2,1,2,3,4,5,3
impossible,1,3,2,4,2,3,3,3,2,3,2,4,1,4,2,3,2,1,3,3,2,1,2,2,4,2,3,2
impossible,3,3,2,2,2,4,1,1,4,3,3,2,2,3,3,1,5,2,2,3,3,5,3,1,4,2,2,2
impossible,1,3,2,2,2,4,4,5,2,3,2,1,4,3,3,2,4,1,3,4,2,1,2,3,4,4,2,3
impossible,3,5,3,1,3,2,3,3,2,3,1,6,3,2,2,1,5,3,2,3,2,2,2,3,4,1,4,2
impossible,2,3,2,2,3,3,1,1,3,5,3,2,3,2,2,3,3,3,2,1,3,3,2,1,2,3,4,2
impossible,3,3,3,4,2,1,2,2,3,3,3,4,1,3,2,2,3,1,3,5,2,2,2,2,1,2,4,3
impossible,2,5,3,3,1,4,2,2,1,3,2,2,4,3,1,2,2,3,3,2,4,2,5,4,2,3,2,1
impossible,3,3,4,2,2,1,3,2,2,1,5,2,3,4,2,3,1,2,3,3,4,4,3,4,1,2,4,2
impossible,4,3,3,1,2,2,3,4,2,1,2,4,4,2,2,1,2,3,3,4,2,3,3,5,3,2,1,2
impossible,2,3,1,2,2,3,4,4,3,2,4,1,3,2,4,3,3,2,2,1,2,2,1,4,2,2,3,5
impossible,2,1,3,2,5,3,2,4,5,3,1,2,2,3,4,2,3,2,1,2,3,2,1,2,2,4,2,3
impossible,2,2,4,3,1,3,2,2,4,3,2,4,1,3,2,4,1,2,3,4,2,3,1,2,3,4,3,2
impossible,2,5,1,3,4,2,4,4,4,2,1,3,3,2,3,3,5,1,2,3,2,2,1,4,4,2,3,3
impossible,1,4,2,3,2,3,3,4,2,3,1,2,3,3,3,1,2,3,2,3,3,1,2,3,3,3,4,2
impossible,3,1,2,4,3,2,3,6,3,2,1,2,4,2,2,3,3,1,3,4,2,2,3,2,5,3,1,3
impossible,2,3,4,3,2,4,1,1,2,3,3,3,2,3,4,2,2,1,3,2,4,2,1,2,3,2,4,4
impossible,4,2,3,2,4,2,1,1,2,3,3,2,3,4,4,3,1,4,2,3,5,5,2,3,1,2,2,3
impossible,3,2,2,2,5,2,1,1,2,2,3,4,2,2,2,5,3,2,1,2,3,4,2,2,3,1,4,3
impossible,3,2,3,2,3,1,3,2,3,1,3,2,4,3,1,2,2,2,3,5,3,3,2,4,3,2,2,1
impossible,2,2,4,2,3,4,1,1,3,2,2,3,4,2,2,3,2,4,2,1,4,3,2,4,3,3,1,2
